Assignment,Concepts
Print Something,"main, print, string"
Agreement Bot,"inputf-string, variable"
Mad Libs,"inputf-string, variable"
Haiku,call_gpt
Song Recommender,call_gpt
Dog Years,numbers
Carbon Dating,numbers
Treasure Conversion,numbers
Booleans and Conditionals,"boolean, if"
Boolean and Conditionals Handout,"boolean, if"
Double It,while loops
Hailstone,"while loops, if"
Guess My Number,"while loops, if, random"
Khansole Academy,"while loops, if, random"
Guess Who Am I,"while loops, if, random"
Game of Nimm (Optional!),while loops
