RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,PlaceNotes,Latitude,Longitude,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Jurisdiction_ID4,Jurisdiction_ID5,Jurisdiction_ID6,Classification,ClassificationNotes,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,Language,LanguageNotes,Source,SourceOther,Edition,EditionOther,Source_URL,Source_URL2,SourceNotes,TranscriptionNotes,NoKnownText,TextNeeded,Fragment,BaseText,OCR,GeneralNotes,Transcription,BiblioRefs
0001,1274,1274,11,1,,"Misdated to October 29 in Dalham; correct dating in Roberg, Intro to COGD edition of Lyon II, p 259",Salzburg,Salzburg,Salzburg,Austria,,47.8025,13.045833,P067,,,,,,Provincial,,Frederick II of Walchen,,1270,1284,,Latin,,,,"Dalham, Concilia, 117-125","Hartzheim III, 639-44",https://books.google.com/books?id=D9JEAAAAcAAJ,https://books.google.com/books?id=-d5KAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",,"Original copy with seal is in Munich, HStA, HU Passau 167; statutes survive in at least 65 HSS (Johanek, Synodalia, III, Anhang I, 16-18)",Reviewed ,
0002,1277,1277,,,,"Hartzheim gives date as 1227; redated by Heydenreich, Trierer Synodalstatuten, to 1277; supported by Johanek, Pariser Statuten, 340-41; ",Trier,Trier,Trier,Germany,,49.7596,6.6439,P083,,,,,,Provincial,,Heinrich I von Finstingen,,1260,1286,,Latin,c. 1 contains Middle High German,,,"Blattau, Statuta synodalia, I, 14-30","Hartzheim III, 526-35",http://books.google.com/books?id=dow-AAAAcAAJ,https://books.google.com/books?id=-d5KAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",Yes,,Reviewed ,
0003,1274,1274x1275,,,Yes,,Mainz,Mainz,Mainz,Germany,,49.98,8.2791,D549,,,,,,Diocesan,"Johanek, Synodalia, I: ""Die Synodalstatuten Erzbischof Werners waren nur für die Diözese Mainz gedacht. Sie gehören damit zu den ältesten Statuten dieser Art in der Mainzer Kirchenprovinz, ja im Reich überhaupt.""",Werner von Eppstein,,1259,1284,,Latin,,"Oxford, Bodleian Library, MS Laud 401, fols. 1r-6v","Leipzig, Universitätsbibliothek, lat. 1085, fols. 33r-37r","Johanek, Synodalia III, Anhang II, Nr 1 (SS 71-106)",,,,,CoSyn Transcription from Johanek edition,,,,"Library Scan
Other
Digital MS",,"see written notes under 'Mainz 1274/75'

-survives only in these two MSS; essentially ignored in 1310 provincial compilation (which was hugely influential), as Unger observed",Reviewed ,
0004,1285,1282x1290,10,,Yes,"dated 1279 (October 16) in Hartzheim, WFUB, and Germania Sacra, with Finke arguing instead for 1282x1290 (and Otte following Finke)",Münster,Münster,Cologne,Germany,,51.962944,7.628694,D541,,,,,,Diocesan,,Everhard von Diest,,1275,1301,,Latin,,,,"Hartzheim III, 644-53","Niesert, Beiträge zu einem Münsterischen Urkundenbuche, 1, 1, 1-23 (no. 1)",https://books.google.com/books?id=-d5KAAAAcAAJ,,,CoSyn transcription from Hartzheim,,,,"GoogleBooks
Data Capture",,,Reviewed ,"Finke, Heinrich. “Die angebliche Fälschung der ältesten Münsterschen Synodalstatuten.” Zeitschrift für vaterländische Geschichte und Altertumskunde (Westfalen) 49 (1891): 161-184; see also Westfaelisches Urkundenbuch, III, p. 560-563, Nr. 1079 (arguing against its authenticity)

"
0005,1281,1281,11,18,,,Salzburg,Salzburg,Salzburg,Austria,,47.8025,13.045833,P067,,,,,,Provincial,,Frederick II of Walchen,,1270,1284,,Latin,,,,"Dalham, Concilia, 125-130","Hartzheim III, 653-56",https://books.google.com/books?id=D9JEAAAAcAAJ,https://books.google.com/books?id=-d5KAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",Yes,"survives in 63 MSS (Johanek, Synodalia, III, Anhang I)",Reviewed ,
0006,1281,1275x1282,,,,"day/month not certain (and some editions give 1280 or 1281, including REK); here following Wolter",Cologne,Cologne,Cologne,Germany,,50.94257,6.958976,D538,,,,,,Diocesan,,Siegfried von Westerburg,,1275,1297,,Latin,,,,"Wolter, Synodalstatuten, 121-155, no. 5","Hartzheim III, 657-71; REK 3/2, 114-115, no. 2874 (Summary)",https://books.google.com/books?id=-d5KAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture
Digital MS",,,Reviewed ,
0007,1284,1284,3,17,,,Sankt Pölten ,Passau,Salzburg,Germany,,48.2,15.625,D570,,,,,,Diocesan,,Gottfried I.,,1282,1285,,Latin,,,,"Hartzheim III, 673-82","Hieronymus Pez, Scriptores rerum Austriacarum, vol. II, coll. 519-533. Leipzig: sumptibus Joh. Frid. Gleditschii B. filii. 1725. ",https://books.google.com/books?id=-d5KAAAAcAAJ,,"survives in at least 20 MSS (Johanek, Synodalia, III, Anhang I); textual transmission is complicated",,,,,"GoogleBooks
Data Capture",,"These were subsequently extended at a synod in Passau, probably that same year (see Johanek, Synodalia, ch. 3)",Reviewed ,
0008,1286,1286,,,,,Naumburg,Naumburg-Zeitz,Magdeburg,Germany,,51.1525,11.81,D548,,,,,,Other,Synod held jointly with bishops of Meissen and Merseburg,Bruno von Langenbogen,,1285,1304,,Latin,,,,"Hartzheim III, 682-83",,https://books.google.com/books?id=-d5KAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0009,1287,1287,,,,,Würzburg,Würzburg,Mainz,Germany,,49.788,9.936,P017,P023,P043,P083,,,Legatine,"issued by Giovanni Boccamazza, bishop of Tusculum",Giovanni Boccamazza,,,,,Latin,,,,"Hartzheim III, 724-37","Lappenberg, Hamburgisches Urkundenbuch, I, 683-98, no. 830",https://books.google.com/books?id=-d5KAAAAcAAJ,,"text survives in at least 52 MSS (see Johanek, Synodalia, III, Anhang I, 56-59)",,,,,"GoogleBooks
Data Capture",,"""Nationalkonzil""; King Rudolph was in attendance, along with archbishops of Trier, Mainz, Cologne, and Bremen

Johanek, Synodalia, ch. 3: considerable episcopal protests against the legate's political plans did not keep the statutes from being widely received and recopied (even if chronicles claimed that they threatened the libertas cleri, etc.)",Reviewed ,"Krafl, ""Wurzburg Legatine Statutes"""
0010,1288,1288,11,11,,Nov 9-13,Salzburg,Salzburg,Salzburg,Austria,,47.8025,13.045833,P067,,,,,,Provincial,,Rudolf of Hoheneck,,1284,1290,,Latin,,"Vorau, Stiftsbibliothek, Ms. 329, fols. 137v-142r","Zwettl, Stiftsbibliothek, Cod 278, fols. 53v-62v","Johanek, Synodalia III, Anhang II, 107-130","Hartzheim III, 737-39 (deficient)",,https://books.google.com/books?id=-d5KAAAAcAAJ,"Johanek's edition is based on the Vorau MS, which dates from late 13th-c",CoSyn Transcription from Johanek edition,,,,"Library Scan
Other
Digital MS",,"These show the highpoint of canonistic learning and creativity in province of Salzburg for 13/14th-c (see Johanek, Synodalia, ch. 3), but Bishop Leopold von Seckau refused to approve the statutes, and Duke Albrecht of Austria forced their annulment.

Johanek, Synodalia, Summarium: ""Dem Bischof von Seckau wurde klargelegt, dass die Bestimmung, der er sich so hartnäckig widersetzte, dass die Satzung des Erzbischofs mit den allgemeinen Normen des Kirchenrechts übereinstimmte.""",Reviewed ,
0011,1290,1290,8,31,,,Wrocław,Wrocław,Gniezno,Poland,,51.116667,17.033333,D537,,,,,,Diocesan,,Thomas of Wrocław,,1232,1268,,Latin,,,,"Sawicki X, 333-36",,,,,,,,,"Library Scan
Hard Copy Scan",Yes,,Reviewed ,
0012,1292,1292,3,17,,,Bremen,Bremen,Bremen,Germany,,53.075833,8.8075,P017,,,,,,Provincial,,Gisilbertus,,,,,Latin,,,,"Bremisches UB 1, 508-513, nr. 477","Mansi 24, coll 1093-98; Hartzheim IV, 583-86",https://books.google.com/books?id=kbNumdYKdrkC,https://books.google.com/books?id=lOJVAAAAcAAJ,,CoSyn transcription from Hartzheim edition,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0013,1298,1298,,,,,Mainz,Mainz,Mainz,Germany,,49.98,8.2791,P043,,,,,,Provincial,,Gerhard II,,,,,Latin,,,,"Hartzheim IV, 587-90",,https://books.google.com/books?id=kbNumdYKdrkC,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0014,1293,1293,4,21,,,Utrecht,Utrecht,Cologne,Netherlands,,52.083,5.1,D543,,,,,,Diocesan,,Jan van Zyrik,John II van Sierck ,1291,1296,,Latin,,,,"Joosting, Bronnen, V, 60-68","OB Utrecht, V/1, pp. 102-105, no. 2581; Hartzheim IV, 17-19",https://resolver.kb.nl/resolve?urn=MMKB02:100007906,https://books.google.com/books?id=kbNumdYKdrkC,,,,,,Data Capture,,,Reviewed ,
