1,3,4,2,5,0,0
Animal Friends Party,Red Party,Harmony Party,Justice and Truth,Adventure Alliance,Yo-ho-ho Pirate Party
3,0,1,2,4,0,0
2,0,0,0,1,0,0
Adventure Alliance,Justice and Truth,Red Party
Red Party,Harmony Party,Adventure Alliance
3,1,2,0,0,0,4
1,4,2,0,3,0,0
1,3,0,2,4,0,0
3,2,1,0,0,0,0
Harmony Party,Justice and Truth,Red Party,Animal Friends Party,Adventure Alliance,Yo-ho-ho Pirate Party,Go Greens!
Red Party,Harmony Party,Adventure Alliance,Justice and Truth,Animal Friends Party,Yo-ho-ho Pirate Party,Go Greens!
3,1,2,4,5,0,6
5,2,3,4,1,6,0
Harmony Party,Animal Friends Party,Adventure Alliance,Red Party,Justice and Truth,Go Greens!,Yo-ho-ho Pirate Party
Red Party,Animal Friends Party,Harmony Party,Justice and Truth,Adventure Alliance,Yo-ho-ho Pirate Party,Go Greens!
Harmony Party,Adventure Alliance,Justice and Truth,Animal Friends Party
Adventure Alliance,Justice and Truth,Red Party,Harmony Party,Animal Friends Party
Red Party,Animal Friends Party,Go Greens!,Justice and Truth,Harmony Party,Adventure Alliance
Harmony Party,Animal Friends Party,Adventure Alliance,Justice and Truth,Red Party,Yo-ho-ho Pirate Party,Go Greens!
0,3,1,2,4,0,5
Justice and Truth,Harmony Party,Red Party,Animal Friends Party,Adventure Alliance
Red Party,Adventure Alliance,Justice and Truth,Animal Friends Party
1,0,2,0,0,0,0
1,0,3,0,2,0,0
Harmony Party,Justice and Truth,Adventure Alliance
1,4,2,5,3,7,6
Justice and Truth,Harmony Party,Red Party
Harmony Party,Justice and Truth,Red Party,Adventure Alliance
Red Party,Harmony Party,Justice and Truth,Adventure Alliance,Animal Friends Party,Go Greens!
0,0,0,0,0,0,0,1
6,3,2,4,5,0,1
Red Party,Adventure Alliance,Justice and Truth,Animal Friends Party,Harmony Party
0,0,2,3,1,0,0
Justice and Truth,Red Party,Animal Friends Party,Adventure Alliance,Harmony Party,Yo-ho-ho Pirate Party
