Entry ID,travelerNames,gender,birthDate,deathDate,birthPlace,deathPlace,parents,sources,eventsIndex,mentionedNamesWithEntryID,mentionedNamesWithNoEntryID,IDmatchesForMentionedNamesWithEntryID,entryOrigin,originEntryID,originEntryName
0,Charles Abbot,Male,1757,1829,,,"John Abbot of Colchester, Essex;Sarah, later Mrs Bentham",Abbot jnl.MSS,"1,2,3,4,5,6,7","Elizabeth Bridget Armitstead;Henry Bankes;Mary Cadogan;Rev. George Chamberlayne;James Clark;George Nassau Clavering Cowper, 3rd Earl Cowper;Louis Dutens;Charles James Fox;Sir William Hamilton;Emma Hart;Hugh Leycester;Oswald Leycester;Megit;John Mitford",Alessandro Cades;Angelo Dalmazzoni;Ludovico Mirri;Piranesi,"119,220,753,880,952,1164,1536,1816,2219,2205,2947,2948,3266,3361",From the Dictionary,,
1,John Farr Abbot,Male,1756,1794,,,"John Abbot of Colchester, Essex",,"8,9",Sarah Bentham,,366,From the Dictionary,,
1.1,Mary Pearce,Female,1762,1793,,,,,10,John Farr Abbot;Sarah Bentham,,"1,366",Extracted from narrative,1,
2,Edward Abbott,Male,1737,1791,,,,Redgrave 1878,11,William Wynne Ryland,,4190,From the Dictionary,,
3,John Abbott,Male,,,,,,,12,Francis Harriman,,2266,From the Dictionary,,
4,Abbott,Male,,,,,,Martin jnl. MSS,,,,,From the Dictionary,,
6,Maj. Abercrombie,Male,1706,1781,,,,Martin jnl. MSS,"13,14,15",Edward Gibbon;William Guise;James Martin;Scott,,"1935,2149,3208,4269",From the Dictionary,,
7,Abercromby,Male,,,,,,,,"John, Lord Carmichael",,808,From the Dictionary,,
8,Sir Ralph Abercromby,Male,1734,1801,,,George Abercromby,,"16,17,18,19,20,21,22,23,24","George, Baron Keith",,2732,From the Dictionary,,
9,Aberdeen,Male,,,,,,"ASV IS 758-781,Forbes MSS,Gazz.Tosc.",,Margaret (Aikman) Forbes;Parnell,,"1773,3742",From the Dictionary,,
10,George Abernethy,Male,,,,,,SP 98/19-37,,"James Stuart, the Pretender",,2648,From the Dictionary,,
12,"Willoughby Bertie, 4th Earl of Abingdon",Male,1740,1799,,,3rd E. of Abingdon,"AVR SA,CL,Clark/Bowron,CP,Dance letters MSS,Dutens, Memoirs,Farington jnl.MSS,Gibbon, Misc.Works,Holroyd letters MSS,Kaye letters MSS,Miller, Letters,Morgan Jnl.,Seafield MSS,Voltaire 1967","25,26,27",Peregrine Bertie;Nathaniel Dance;Sir William Farington;Edward Gibbon;Richard Kaye;John Morgan;Thomas Vivien,Batoni;Pio Domenici Coco;Hennin;C. Weiss of Mulhausen;père Nicolas;Voltaire,"397,1288,1660,1935,2722,3429,4941",From the Dictionary,,
13,Col. Abram,Male,,,,,,,,Sir Sampson Gideon,,1946,From the Dictionary,,
15,Ackmooty,Male,1687,1750,Scotland,,,Waters jnl.MSS,"28,29,30,31",,,,From the Dictionary,,
16,John Dyke Acland,Male,1746,1778,,,"Sir Thomas Dyke Acland, 7th Bt.","ASV IS 758-781,Gazz.Tosc.","32,33,34,35,36,37",Joshua Reynolds;Thomas Vivien,,"4067,4941",From the Dictionary,,
17,John Acton,Male,1703,1766,,Pisa,"Edward Acton, London","Gibbon Journey,Gibbon Letters,Wal.Corr.","38,39,40,41",Edward Gibbon;William Lowther;Horace Mann;James Mill,,"1935,3039,3169,3321",From the Dictionary,,
18,John Francis Edward Acton,Male,1736,1811,,Palermo,"Edward Acton, phys. of Besançon",,"42,43,44",Charles Januarius Edward Acton;Elizabeth Acton;Ferdinand Richard Edward Acton;John Acton;Joseph Edward Acton;Mary Anne Acton;Sir William Hamilton;Robert Fagan,"Bartolozzi;Antonio d'Este;Maria Carolina of Austria, Queen of Naples and Sicily;Peter Leopold, Grand Duke of Tuscany 1765-1790","18.4,18.5,18.3,17,18.1,18.2,2219,1652",From the Dictionary,,
18.1,Joseph Edward Acton,Male,1737,1808,,,"Edward Acton, phys. of Besançon",,"45,46",John Francis Edward Acton;Mary Anne Acton;Ferdinand Richard Edward Acton;Charles Januarius Edward Acton;Elizabeth Acton,,"18,18.2,18.3,18.4,18.5",Extracted from narrative,18,
