Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2020-03-01,2212965,984908,86790,55825,19922,786960,1636
2020-03-02,5329915,2209066,321569,180701,30338,874619,17140
2020-03-03,5481103,2228608,319727,190648,32767,882175,17453
2020-03-04,5498809,2177165,311662,192689,34297,905558,17136
2020-03-05,5496453,2244515,307597,194386,33209,929298,17203
2020-03-06,5189447,2066743,289171,205056,30970,945408,15285
2020-03-07,2814637,1249085,106058,75838,18117,827907,2445
2020-03-08,2120656,957163,81565,60800,19477,765083,1672
2020-03-09,4973513,2124770,277001,183953,29609,860073,16122
2020-03-10,4867818,2111989,259324,179050,31315,855585,15805
2020-03-11,4697122,2112967,245798,175074,32198,866706,15340
2020-03-12,4149505,1938424,197178,169547,30814,881188,14169
2020-03-13,3484996,1715737,158582,167176,26640,860419,11769
2020-03-14,1670665,993287,44885,39701,13394,631101,2135
2020-03-15,1157711,711555,33407,32641,12480,535987,1368
2020-03-16,2178555,1237309,119333,153262,21145,708869,5741
2020-03-17,1788786,1094949,83578,147391,18173,650444,4573
2020-03-18,1625280,1059502,74883,146118,15942,634853,4133
2020-03-19,1422112,933602,59538,144466,14116,569696,3452
2020-03-20,1309125,868602,50021,145160,12744,563261,3124
2020-03-21,619618,411491,12438,23700,6467,382992,1044
2020-03-22,408723,73517,8891,20830,4824,277050,641
2020-03-23,709499,59321,30564,139285,9902,361513,1639
2020-03-24,741587,60334,29785,139194,9133,395493,1727
2020-03-25,690032,51769,26143,138239,9512,375767,1572
2020-03-26,680360,49970,23809,138668,8795,390117,1563
2020-03-27,656817,45514,20355,138903,8409,396777,1495
2020-03-28,332393,19745,5279,19088,4491,240702,600
2020-03-29,263700,14307,4358,18152,3374,197154,419
2020-03-30,545215,33659,19741,137762,8084,344689,1140
2020-03-31,508106,32211,16194,137464,7672,337626,1043
2020-04-01,513481,29373,10548,9300,8151,342221,720
2020-04-02,485586,26788,10057,9492,7077,339734,882
2020-04-03,483357,24418,9657,9770,7794,340272,843
2020-04-04,282278,13168,3727,4451,4375,243323,425
2020-04-05,227303,9748,2969,3601,2763,209151,300
2020-04-06,445454,22418,10127,9832,7093,335768,819
2020-04-07,434986,21623,9312,9589,7041,335469,732
2020-04-08,427485,20361,9039,9292,6950,324881,721
2020-04-09,404635,18734,8413,8931,6243,303480,690
2020-04-10,400275,17135,8247,9573,5378,314099,672
2020-04-11,257061,9718,2749,4179,4235,254754,406
2020-04-12,198399,7041,2245,3281,2525,217871,294
2020-04-13,363312,14408,8192,8824,6205,284608,649
2020-04-14,430155,17937,8816,9592,6585,356104,791
2020-04-15,419059,16895,8596,9492,6928,340212,792
2020-04-16,420223,16632,8462,9528,6563,346341,790
2020-04-17,432368,16350,8271,9989,7048,378350,738
2020-04-18,254453,8115,2449,3965,4202,254734,339
2020-04-19,224411,6929,2159,3884,2742,276406,340
2020-04-20,437852,16522,8912,10063,7050,371776,770
2020-04-21,422107,15231,8264,9374,6613,356098,753
2020-04-22,458781,16487,8674,9694,7496,398703,793
2020-04-23,453520,15786,8425,9527,6969,386937,780
2020-04-24,443956,14237,7821,9722,7040,386935,688
2020-04-25,295387,8832,2869,4987,4719,350299,449
2020-04-26,218787,5498,1903,3495,2506,231540,309
2020-04-27,462888,15283,8828,10243,6922,384123,812
2020-04-28,489247,16380,9167,10531,7542,436346,826
2020-04-29,477799,15406,9100,10165,7844,410502,790
2020-04-30,465869,14062,9335,9971,7253,405168,764
2020-05-01,494549,14893,6200,9206,8332,445621,763
2020-05-02,325865,8912,3959,5908,5493,401938,489
2020-05-03,258865,6404,3314,4839,3263,353314,334
2020-05-04,511866,16315,11158,10764,8287,447424,897
2020-05-05,522085,16377,13265,10604,8445,462085,894
2020-05-06,508824,15677,14489,10107,8832,444179,822
2020-05-07,535073,16130,16139,11247,8509,488836,930
2020-05-08,526054,14571,15714,11242,8656,483830,811
2020-05-09,316883,7594,7651,6017,5055,371426,489
2020-05-10,271947,6367,7990,5878,3962,415867,406
2020-05-11,520873,15176,18349,11434,7636,458041,829
2020-05-12,553372,15989,19018,11488,8271,488406,914
2020-05-13,565377,16170,19356,11931,9437,509243,956
2020-05-14,567392,15905,19310,12131,8855,520395,923
2020-05-15,587808,15481,20092,12936,9473,562990,976
2020-05-16,360844,8742,11075,8100,5947,477097,485
2020-05-17,287418,6504,8793,6168,3577,391606,337
2020-05-18,595469,17206,22113,13141,8969,505314,1036
2020-05-19,610884,17296,21599,12777,9290,524482,1067
2020-05-20,623749,17674,22224,12753,10224,542409,1044
2020-05-21,629298,17565,22585,13294,9731,585552,1069
2020-05-22,633883,16453,22830,14711,9782,626983,1046
2020-05-23,335830,7186,10983,7613,5550,394091,420
2020-05-24,320015,6642,11871,8977,4117,461170,361
2020-05-25,393918,7996,19321,12982,5428,445015,441
2020-05-26,656766,17819,26691,14937,9875,587269,1173
2020-05-27,674465,17911,26483,14432,11088,601140,1240
2020-05-28,658057,17535,25175,14161,10030,584628,1191
2020-05-29,657259,16378,25070,15697,10185,598607,1094
2020-05-30,426737,9112,15557,11003,6143,537179,18
2020-05-31,344426,6724,13554,9390,4216,495487,2
2020-06-01,687162,17833,34339,16184,10760,595059,1358
2020-06-02,693760,16576,33769,16294,11206,579411,1516
2020-06-03,681714,17830,32523,15649,11962,582624,1323
2020-06-04,726672,18538,29771,17149,12000,650868,1346
2020-06-05,703576,16863,33482,18065,11698,643562,1249
2020-06-06,464198,8912,18090,12179,6591,551793,9
2020-06-07,377990,7579,16797,11231,4650,538418,95
2020-06-08,804542,25663,42630,20140,11957,644829,1596
2020-06-09,842306,26247,42274,19543,12869,680462,1662
2020-06-10,857015,26735,43083,20517,13616,680270,1767
2020-06-11,818297,24284,40961,19525,12514,656695,1576
2020-06-12,896658,24459,45072,24165,13224,765491,1656
2020-06-13,545316,12115,25355,16675,7794,631064,17
2020-06-14,430439,8731,20859,13794,5195,563725,7
2020-06-15,897112,27057,47545,22841,12953,674785,1813
2020-06-16,932671,28049,46876,22555,12939,695359,1874
2020-06-17,948461,27924,47166,24167,14595,709679,1857
2020-06-18,942382,27516,47851,24081,13808,729486,1936
2020-06-19,986929,25578,50201,27772,13868,797518,1751
2020-06-20,576075,11899,28959,18559,8185,666226,22
2020-06-21,449497,9072,27094,16719,6328,654913,0
2020-06-22,1000046,30863,53878,25367,13314,733290,2027
2020-06-23,1050786,32305,52898,24909,15069,744822,2219
2020-06-24,1068333,32504,52354,25277,15155,752749,2194
2020-06-25,1078796,32393,53444,25644,14854,781617,2210
2020-06-26,1102382,30480,55647,29700,15048,830887,2115
2020-06-27,615398,12942,26773,17932,8541,630730,686
2020-06-28,535898,10167,25680,15918,5748,623131,590
2020-06-29,1100769,33264,63309,28163,14705,767165,2317
2020-06-30,1113124,33996,57955,27077,15291,758785,2386
2020-07-01,1120537,32921,56505,27770,16451,779409,2305
2020-07-02,1170483,32730,64261,31948,15981,881471,2365
2020-07-03,851877,16862,56181,32049,10915,713240,1138
2020-07-04,591605,10769,38388,22085,8391,569212,690
2020-07-05,533692,9832,34569,19136,6280,659099,528
2020-07-06,1084956,31548,63862,30556,14886,750583,2222
2020-07-07,1157185,33595,61756,30507,16003,749832,2403
2020-07-08,1172279,34242,63048,30174,16980,758208,2454
2020-07-09,1211280,34762,65483,31913,17017,818034,2571
2020-07-10,1030632,25544,55929,29683,15738,712635,2117
2020-07-11,692977,12872,30059,18683,8453,625288,812
2020-07-12,628187,10966,34905,19859,7395,703589,731
2020-07-13,1175700,33302,66384,31876,15928,756122,2504
2020-07-14,1241080,35391,66321,31921,17081,794837,2669
2020-07-15,1248413,34701,66549,32603,18149,803399,2751
2020-07-16,1249128,34199,66732,33258,17230,819850,2756
2020-07-17,1207265,29696,64806,35414,16401,819471,2427
2020-07-18,778936,14335,41235,24071,9785,747444,786
2020-07-19,584994,9845,36429,18675,7052,696110,504
2020-07-20,1156735,30196,67721,32279,15957,770606,2428
2020-07-21,1241819,32482,67594,33213,16831,792954,2725
2020-07-22,1233668,33863,65348,32485,17582,784013,2716
2020-07-23,1233795,33999,65637,32975,17056,791577,2632
2020-07-24,1218138,29987,65889,36639,17311,826030,2511
2020-07-25,816604,14777,43340,25173,10350,769898,799
2020-07-26,606910,9711,36164,20170,7429,697533,542
2020-07-27,1203503,32072,70114,31568,16607,793224,2626
2020-07-28,1241770,33753,66687,31677,16892,782225,2635
2020-07-29,1296102,35257,69995,33733,18216,816959,2778
2020-07-30,1270172,33982,68958,34122,17333,820274,2746
2020-07-31,1258539,29917,67648,38040,17654,859774,2429
2020-08-01,842468,16087,44405,26261,10685,799744,904
2020-08-02,590060,9874,30502,17885,7431,648735,615
2020-08-03,1272996,36945,70779,32884,17594,818732,2955
2020-08-04,1027187,29426,36835,22286,14924,577415,1499
2020-08-05,1348202,38283,58005,26598,18299,847329,2824
2020-08-06,1334694,37059,66671,28283,19117,847497,3125
2020-08-07,1283894,32170,65969,32882,17502,844096,2741
2020-08-08,833287,15143,41729,23513,10613,730738,806
2020-08-09,662993,11534,37616,20503,8287,744618,649
2020-08-10,1275268,34883,73548,33500,18178,826000,2995
2020-08-11,1319814,36426,72436,33509,18546,821975,3164
2020-08-12,1298963,36053,68345,33736,19346,800864,3124
2020-08-13,1291277,34723,69223,33822,18608,819018,2971
2020-08-14,1355786,32713,72916,39342,18113,893657,3012
2020-08-15,860789,15522,46806,27677,11487,804345,974
2020-08-16,554451,8603,29858,18164,7902,620685,529
2020-08-17,1304485,34768,74453,35362,17377,806108,3058
2020-08-18,1369617,36646,74213,34361,19274,838007,2951
2020-08-19,1292148,34181,70104,34377,19915,816805,2783
2020-08-20,1410489,35059,75643,37078,19344,889781,2960
2020-08-21,1387463,31342,76062,41110,19035,909773,2769
2020-08-22,882522,13705,49095,27784,11456,812307,871
2020-08-23,671560,9698,37891,22496,8297,737096,633
2020-08-24,1307345,34021,75145,35904,17643,815664,2756
2020-08-25,1346490,34993,73331,35689,18682,821596,2845
2020-08-26,1407639,35975,76583,36621,20659,859624,3012
2020-08-27,1358272,33969,73060,35551,19271,847284,2856
2020-08-28,1388583,31956,76114,41222,18845,899891,2716
2020-08-29,773667,14035,37641,22234,9814,645955,798
2020-08-30,748061,16027,45147,26520,9752,805095,825
2020-08-31,1397264,787291,78122,37727,18185,817543,3184
2020-09-01,1469274,947758,76483,36035,18929,809684,3217
2020-09-02,1487969,972213,77585,36159,19990,810144,3192
2020-09-03,1529185,1022623,82554,39920,19992,869126,3327
2020-09-04,1568385,1030811,88345,47152,20223,936602,3148
2020-09-05,1013725,715922,50550,34621,12118,798822,21
2020-09-06,819409,559273,44727,28565,10160,753035,191
2020-09-07,870964,615802,80050,27326,9261,697865,1210
2020-09-08,1555816,1039401,90603,42963,19806,833995,3496
2020-09-09,1610076,1072887,86063,41954,21801,825411,3586
2020-09-10,1543662,997030,82142,39296,20181,801431,3403
2020-09-11,1690334,1070920,88582,47781,20809,895765,3442
2020-09-12,1083698,752875,44546,32400,12349,800189,29
2020-09-13,796740,557231,36686,24009,9315,703809,4
2020-09-14,1604381,1065601,89498,41286,19888,799572,3515
2020-09-15,1678078,1091806,87025,41288,20763,815699,3696
2020-09-16,1686909,1097389,87034,41417,22070,816708,3496
2020-09-17,1692368,1094592,86854,42339,21005,848024,3617
2020-09-18,1725443,1083295,90657,48213,20702,894931,3367
2020-09-19,1136947,752437,46777,34608,12246,802613,1001
2020-09-20,827605,558863,38973,26328,9269,705596,760
2020-09-21,1624139,1058256,89706,41901,19488,788504,3497
2020-09-22,1698504,1095678,87376,41389,21103,808350,3821
2020-09-23,1735333,1119904,88998,42506,22501,834468,3710
2020-09-24,1722364,1107707,89129,42969,21554,857578,3816
2020-09-25,1761591,1110956,92506,49819,21233,912599,3708
2020-09-26,1120143,755197,47169,35771,12128,824514,32
2020-09-27,846179,576684,39994,28480,9491,731090,5
2020-09-28,1489240,985185,89664,43237,17678,753158,3371
2020-09-29,1661264,1057135,88444,40515,20517,790861,3632
2020-09-30,1740820,1101663,89223,41967,21424,822682,3704
2020-10-01,1809958,1159859,86082,42390,22309,870605,4003
2020-10-02,1790612,1115793,87291,48883,21626,891268,3589
2020-10-03,1168040,777674,45018,36907,12759,810625,33
2020-10-04,852830,570608,34976,27667,10010,706562,761
2020-10-05,1678792,1102675,88694,42257,19971,783540,3587
2020-10-06,1758454,1137217,87748,43803,21475,802900,3866
2020-10-07,1770617,1123231,87119,43534,23027,814866,3791
2020-10-08,1798005,1126770,87959,44802,21964,845788,3913
