Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible
11,PokhranUnknownII Nuclear Tests,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee
19,Kargil War,Unknown,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military"
31,Economic Reforms and Liberalization,Unknown,July,1991,India,Economic Policy,India,Opening of the Indian economy to global markets and investors,"Indian businesses, workers","Manmohan Singh, P.V. Narasimha Rao"
32,Kandahar Hijacking (IC 814),24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government"
91,Pakistan's Nuclear Tests (ChagaiUnknownI),28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan
92,Kargil Conflict,Unknown,Unknown,1999,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan
111,Motorway Network Development,Unknown,Unknown,1997,Pakistan,Infrastructure,Nationwide,Development of a network of motorways to improve transportation and trade.,Pakistani citizens,Government of Pakistan
117,Pakistan's First Satellite Launch,16,July,1990,Pakistan,Space Exploration,"Xichang, China","Launch of BadrUnknown1, Pakistan's first indigenously developed and manufactured satellite.",Pakistani scientific community,SUPARCO
119,National Database and Registration Authority (NADRA) Establishment,1998,Unknown,1998,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan
161,Handover of Hong Kong,1,July,1997,China,International Agreement,Hong Kong,Marked the return of Hong Kong from British to Chinese sovereignty.,Residents of Hong Kong,British and Chinese governments
176,Deng Xiaoping's Southern Tour,Unknown,Unknown,1992,China,Economic Reform,Southern China,"Reaffirmed the commitment to economic reforms and openingUnknownup policies, leading to rapid economic growth.",Chinese citizens,Deng Xiaoping
177,Return of Hong Kong,1,July,1997,China,Sovereignty Transition,Hong Kong,Marked the transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments
178,Return of Macau,20,December,1999,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments
197,Hong Kong Handover,1,July,1997,China,Sovereignty Transition,Hong Kong,Transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments
249,Dissolution of the Soviet Union,26,December,1991,USSR,Political,Soviet Union,"Marked the end of the Soviet Union and the emergence of 15 independent republics, including Russia.",Citizens of former USSR,"Mikhail Gorbachev, Boris Yeltsin"
250,Boris Yeltsin Elected as First President of Russia,12,June,1991,Russia,Political,Russia,Signified the transition towards democratic governance and market economics in postUnknownSoviet Russia.,Russian citizens,Boris Yeltsin
251,Constitutional Crisis in Russia,21,September,1993,Russia,Political Crisis,Moscow,A political standUnknownoff between the Russian president and the parliament culminated in military conflict.,Russian citizens,"Boris Yeltsin, Russian parliament"
253,Financial Crisis in Russia,17,August,1998,Russia,Economic Crisis,Russia,"Led to the Russian government defaulting on its debt, causing significant economic turmoil.",Russian citizens,Russian government
299,Great Hanshin Earthquake,17,January,1995,Japan,Natural Disaster,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,Unknown
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995,Japan,Terrorism,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult
302,Japan's Apology for WWII Aggressions,15,August,1995,Japan,Diplomatic Statement,Japan,Prime Minister Tomiichi Murayama issued a formal apology for Japan's wartime aggressions.,Asian neighbors,Tomiichi Murayama (Prime Minister)
303,Kyoto Protocol on Climate Change,11,December,1997,Japan,International Agreement,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants
