,Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
0,Male,5.5,No,Urban,72.7,Tertiary,43.5
1,Female,6.8,No,Urban,62.0,Primary,51.7
2,Female,9.7,No,Rural,95.0,Secondary,70.1
3,Male,13.3,Yes,Rural,52.9,none,79.5
4,Female,8.9,No,Urban,50.8,none,52.2
5,Female,7.9,No,Urban,73.7,Tertiary,58.8
6,Female,7.6,No,Urban,79.5,Secondary,64.8
7,Female,12.3,Yes,Urban,98.4,Secondary,100.0
8,Female,10.6,Yes,Rural,72.3,Primary,87.8
9,Female,9.9,No,Rural,73.2,Tertiary,67.0
10,Female,3.9,No,Urban,89.7,Tertiary,48.8
11,Male,2.3,Yes,Rural,85.7,none,52.6
12,Male,14.0,Yes,Rural,89.1,Tertiary,100.0
13,Female,9.1,Yes,Rural,62.0,Primary,75.8
14,Male,15.3,Yes,Urban,77.2,Tertiary,100.0
15,Male,10.6,Yes,Rural,76.9,Secondary,72.4
16,Male,9.1,No,Rural,78.5,Secondary,56.4
17,Male,12.7,No,Urban,89.9,none,83.1
18,Male,7.1,No,Rural,69.7,Tertiary,42.6
19,Female,9.0,No,Urban,61.5,Secondary,60.8
20,Male,11.8,Yes,Urban,74.4,Secondary,82.3
21,Female,9.7,Yes,Urban,58.9,Tertiary,75.9
22,Female,5.1,No,Urban,50.4,Primary,42.7
23,Male,5.4,No,Rural,50.1,Tertiary,34.8
24,Male,13.9,No,Urban,70.4,Secondary,88.9
25,Female,9.4,No,Urban,71.4,Tertiary,67.9
26,Female,0.0,Yes,Urban,60.8,Tertiary,44.1
27,Female,14.1,Yes,Rural,79.8,Secondary,89.5
28,Female,3.5,No,Urban,72.4,none,35.8
29,Male,11.7,No,Urban,71.6,none,76.0
30,Female,15.4,No,Urban,99.5,Tertiary,94.0
31,Male,4.8,No,Urban,98.9,Secondary,57.2
32,Female,11.3,Yes,Urban,87.2,Secondary,91.0
33,Male,7.4,Yes,Urban,60.6,Tertiary,70.1
34,Female,16.0,No,Urban,92.4,Secondary,100.0
35,Female,10.7,No,Urban,80.6,Tertiary,74.6
36,Male,9.9,No,Rural,89.4,none,65.1
37,Female,2.7,No,Rural,79.2,Primary,38.5
38,Female,6.3,No,Rural,71.6,Tertiary,52.7
39,Male,6.2,No,Urban,70.8,Tertiary,54.6
40,Male,6.3,No,Rural,98.2,Tertiary,56.4
41,Female,12.6,Yes,Urban,95.9,Secondary,93.9
42,Male,10.4,No,Urban,99.9,Tertiary,77.1
43,Female,14.9,No,Rural,84.5,Tertiary,92.7
44,Female,9.1,Yes,Urban,84.9,Secondary,87.2
45,Female,9.0,No,Urban,96.9,Primary,68.1
46,Female,5.2,No,Urban,62.2,none,39.7
47,Female,7.9,Yes,Rural,71.1,Tertiary,75.2
48,Male,10.7,No,Urban,57.0,Primary,63.9
49,Female,12.8,Yes,Urban,50.0,Secondary,91.5
50,Male,10.9,No,Urban,58.7,Secondary,66.6
51,Female,11.8,Yes,Rural,78.0,Secondary,85.7
52,Female,7.6,No,Rural,96.6,Tertiary,65.2
53,Female,6.8,Yes,Urban,52.4,Secondary,70.6
54,Female,7.7,No,Rural,93.2,Tertiary,64.5
55,Male,2.7,Yes,Rural,55.6,Tertiary,46.5
56,Female,8.2,Yes,Urban,61.5,Primary,66.7
57,Male,8.2,No,Rural,65.0,Secondary,52.5
58,Male,15.5,No,Urban,84.1,Secondary,98.0
59,Female,7.1,Yes,Urban,72.6,Secondary,69.7
60,Female,4.7,No,Rural,70.8,Secondary,47.0
61,Male,16.0,No,Urban,90.2,Tertiary,100.0
62,Female,6.2,No,Urban,93.3,Tertiary,60.8
63,Male,13.0,No,Urban,94.8,Secondary,92.9
64,Female,12.4,No,Urban,90.4,none,83.5
65,Male,2.0,No,Urban,98.6,Secondary,43.0
66,Male,16.0,No,Rural,56.4,Secondary,88.9
67,Male,9.8,Yes,Urban,99.9,Secondary,96.2
68,Male,12.0,No,Rural,94.3,none,74.9
69,Male,8.5,No,Urban,84.2,Tertiary,56.2
70,Female,8.4,No,Urban,86.8,none,67.7
71,Female,14.9,No,Urban,63.3,Primary,83.2
72,Male,11.3,No,Rural,77.9,none,66.2
73,Male,13.6,Yes,Urban,59.8,Secondary,94.1
74,Male,16.0,Yes,Urban,87.4,Secondary,100.0
75,Female,15.1,No,Urban,92.5,Secondary,91.1
76,Female,16.0,No,Rural,56.7,Tertiary,85.1
77,Male,10.9,No,Rural,56.8,Tertiary,63.9
78,Female,3.7,No,Urban,76.8,Primary,40.8
79,Male,1.2,No,Urban,83.0,Primary,44.1
80,Male,10.3,No,Urban,91.4,Secondary,73.7
81,Female,3.8,Yes,Urban,80.7,Primary,61.8
82,Male,6.0,No,Urban,88.2,Secondary,62.5
83,Female,4.5,No,Urban,63.2,Secondary,50.7
84,Female,10.7,No,Rural,68.2,Tertiary,73.3
85,Female,6.3,No,Urban,91.0,Primary,52.2
86,Female,14.4,No,Rural,83.4,Tertiary,77.2
87,Female,9.2,Yes,Rural,59.6,Primary,84.7
88,Female,6.5,No,Rural,96.5,Secondary,65.4
89,Male,7.9,No,Rural,99.7,Secondary,65.3
90,Female,11.6,No,Urban,77.8,Secondary,74.9
91,Female,10.6,Yes,Rural,89.1,Tertiary,88.0
92,Male,7.0,No,Rural,97.6,Primary,52.0
93,Male,10.9,No,Urban,86.9,Secondary,73.2
94,Female,14.7,Yes,Urban,80.8,Tertiary,100.0
95,Male,10.6,Yes,Rural,61.8,Primary,76.3
96,Male,4.3,No,Urban,91.5,Secondary,55.4
97,Female,8.6,Yes,Rural,62.6,Primary,71.1
98,Female,6.4,No,Rural,76.1,Primary,50.5
99,Male,0.8,No,Urban,76.7,Tertiary,31.3
100,Female,10.1,Yes,Rural,78.8,Secondary,76.8
101,Male,8.0,No,Urban,89.5,Secondary,73.3
102,Male,4.2,No,Rural,65.2,Secondary,40.3
103,Female,16.0,No,Urban,94.7,Primary,92.5
104,Male,4.7,No,Rural,89.7,Secondary,48.8
105,Male,2.5,No,Urban,63.5,none,41.9
106,Male,9.1,No,Rural,90.8,Secondary,60.7
107,Female,12.9,No,Urban,61.5,none,69.6
108,Female,13.0,No,Urban,88.7,Primary,88.9
109,Male,15.9,No,Urban,61.3,Primary,90.0
110,Female,9.8,Yes,Urban,59.3,Primary,79.1
111,Male,7.8,Yes,Urban,70.9,Tertiary,73.6
112,Male,5.2,Yes,Urban,99.1,Primary,64.2
113,Male,14.4,Yes,Urban,63.7,none,92.2
114,Male,10.7,No,Rural,68.1,none,62.1
115,Male,10.4,No,Rural,51.7,Primary,60.4
116,Female,12.4,No,Urban,78.0,Secondary,79.1
117,Male,3.7,No,Rural,86.8,Primary,39.3
118,Female,0.5,Yes,Urban,50.6,Primary,41.1
119,Male,10.9,No,Urban,62.1,Primary,70.2
120,Female,11.7,No,Urban,62.2,Primary,66.2
121,Female,1.7,No,Urban,58.7,Secondary,27.0
122,Female,10.3,Yes,Urban,53.2,Tertiary,77.3
123,Female,6.5,No,Rural,78.9,Tertiary,51.3
124,Female,9.1,No,Rural,57.9,Primary,51.8
125,Male,11.1,No,Rural,82.5,Tertiary,78.7
126,Female,9.5,No,Urban,72.5,Tertiary,64.9
127,Female,7.9,No,Rural,99.1,Tertiary,67.8
128,Female,7.4,No,Rural,95.3,Secondary,53.5
129,Female,6.4,No,Urban,77.2,Tertiary,61.7
130,Male,12.8,Yes,Urban,51.9,Secondary,91.6
131,Female,8.9,No,Urban,94.1,Primary,76.1
132,Female,16.0,No,Urban,78.1,Secondary,95.4
133,Male,16.0,No,Urban,60.2,Tertiary,87.2
134,Male,9.5,Yes,Urban,57.8,Tertiary,77.7
135,Female,11.5,Yes,Rural,77.1,Primary,87.6
136,Male,15.6,No,Rural,78.0,Tertiary,87.2
137,Male,8.9,Yes,Rural,57.6,Tertiary,74.4
138,Male,7.9,Yes,Rural,72.5,Tertiary,75.6
139,Male,10.6,No,Rural,63.9,Secondary,59.6
140,Female,10.3,No,Urban,51.1,Secondary,69.3
141,Female,14.0,No,Urban,85.1,Tertiary,87.8
142,Male,15.8,Yes,Rural,94.1,Tertiary,100.0
143,Male,7.8,No,Urban,86.7,Tertiary,69.6
144,Female,9.8,No,Urban,76.1,Primary,70.4
145,Male,6.2,No,Rural,69.3,Secondary,45.9
146,Female,3.0,No,Rural,83.0,none,35.0
147,Female,12.2,Yes,Rural,56.8,Primary,81.4
148,Female,15.8,No,Urban,74.5,Primary,92.2
149,Female,14.9,No,Rural,97.0,Secondary,98.1
150,Male,10.1,No,Urban,63.3,Tertiary,72.9
151,Male,13.2,No,Urban,50.3,Primary,70.2
152,Male,10.6,No,Urban,59.8,Primary,63.4
153,Female,4.2,No,Rural,72.4,Tertiary,41.8
154,Male,13.2,Yes,Urban,75.7,Tertiary,98.5
155,Female,8.2,Yes,Urban,86.1,Secondary,72.4
156,Female,3.8,No,Urban,68.9,Primary,50.6
157,Female,9.0,No,Urban,72.4,Primary,65.4
158,Male,13.4,Yes,Urban,80.5,Secondary,100.0
159,Female,8.7,Yes,Urban,80.5,Tertiary,83.8
160,Male,6.2,No,Urban,93.6,Secondary,60.3
161,Male,8.6,No,Rural,95.2,Secondary,62.4
162,Female,10.6,No,Urban,88.2,Tertiary,73.9
163,Male,11.5,No,Urban,63.2,none,63.3
164,Female,16.0,No,Urban,55.6,Secondary,96.6
165,Female,7.3,No,Rural,64.6,Secondary,59.8
166,Male,16.0,No,Rural,77.7,Secondary,88.6
167,Male,11.5,No,Urban,93.1,Primary,64.0
168,Female,5.5,No,Rural,60.5,Primary,55.1
169,Male,9.5,No,Rural,50.4,Secondary,53.9
170,Female,12.3,Yes,Urban,82.5,Secondary,89.8
171,Male,16.0,No,Rural,76.3,Secondary,84.9
172,Female,10.8,No,Urban,74.0,Secondary,61.2
173,Male,16.0,No,Rural,60.6,Tertiary,90.9
174,Female,8.7,Yes,Urban,58.9,none,76.1
175,Male,4.0,No,Rural,75.3,Secondary,50.9
176,Female,8.1,No,Urban,50.8,Secondary,61.8
177,Male,7.8,Yes,Urban,69.9,Secondary,76.4
178,Male,13.5,No,Urban,65.0,Primary,72.3
179,Male,8.2,No,Urban,76.7,Tertiary,63.7
180,Female,8.6,No,Rural,93.0,Secondary,69.6
181,Male,10.0,Yes,Rural,53.9,none,69.6
182,Female,10.6,No,Rural,89.9,Secondary,75.3
183,Male,14.0,Yes,Urban,71.9,none,90.0
184,Female,16.0,No,Rural,96.3,Tertiary,98.3
185,Male,14.1,No,Urban,77.1,none,77.7
186,Male,3.2,No,Urban,83.9,Secondary,45.8
187,Male,5.1,Yes,Rural,84.7,Tertiary,56.6
188,Male,9.8,No,Urban,78.9,Secondary,70.3
189,Male,12.5,No,Urban,87.5,Secondary,84.7
190,Female,1.6,No,Rural,87.7,Secondary,35.4
191,Male,10.4,No,Urban,82.0,Secondary,73.5
192,Male,16.0,No,Rural,66.2,Secondary,95.3
193,Female,10.5,No,Rural,51.6,Secondary,58.4
194,Male,11.1,No,Rural,86.0,Secondary,60.9
195,Male,12.1,No,Rural,78.7,Primary,77.7
196,Male,7.9,No,Urban,51.8,Tertiary,54.5
197,Female,9.5,No,Rural,99.0,Secondary,66.4
198,Male,2.1,Yes,Urban,62.5,Secondary,51.7
199,Male,7.4,Yes,Urban,97.4,Tertiary,69.8
200,Female,10.7,Yes,Urban,93.2,Tertiary,98.4
201,Male,4.6,No,Rural,69.4,Secondary,41.2
202,Female,16.0,No,Urban,84.0,Secondary,90.8
203,Male,7.2,No,Urban,76.1,Secondary,55.1
204,Male,8.2,No,Urban,69.9,none,62.8
205,Female,8.9,No,Urban,56.9,Secondary,58.5
206,Female,7.3,No,Urban,55.8,Primary,45.4
207,Male,7.6,No,Rural,86.8,Secondary,60.9
208,Male,9.8,No,Urban,54.5,Tertiary,58.9
209,Male,5.6,No,Urban,79.7,Primary,48.4
210,Female,12.7,No,Urban,75.0,Secondary,74.8
211,Female,8.5,Yes,Urban,61.2,Tertiary,74.3
212,Male,9.5,No,Urban,83.8,Secondary,76.5
213,Male,8.1,No,Rural,89.0,Tertiary,69.6
214,Male,15.8,No,Rural,78.1,Primary,85.0
215,Male,10.1,Yes,Urban,65.7,Secondary,85.3
216,Male,11.7,No,Urban,67.8,Primary,67.8
217,Female,13.6,Yes,Urban,84.3,Primary,95.1
218,Male,4.9,Yes,Rural,66.4,Primary,57.3
219,Female,6.8,No,Rural,83.4,Secondary,51.0
220,Male,10.9,No,Urban,66.8,Secondary,61.5
221,Male,14.4,No,Urban,89.3,Primary,80.9
222,Male,14.3,Yes,Urban,51.5,Secondary,94.0
223,Female,5.6,No,Urban,61.2,Tertiary,55.6
224,Female,9.2,No,Rural,55.7,Primary,55.2
225,Female,14.1,Yes,Rural,92.0,Primary,100.0
226,Male,10.1,Yes,Urban,68.3,none,74.4
227,Male,10.8,No,Urban,79.0,Tertiary,68.6
228,Female,9.9,No,Urban,83.6,Secondary,71.1
229,Female,13.9,No,Rural,50.0,Secondary,75.4
230,Female,6.1,No,Urban,76.7,none,50.0
231,Female,8.2,No,Urban,83.9,Tertiary,65.4
232,Male,12.9,No,Urban,85.8,Tertiary,82.2
233,Male,1.2,No,Rural,89.7,Tertiary,39.2
234,Male,9.8,No,Rural,59.8,Tertiary,68.3
235,Female,10.2,Yes,Rural,67.8,Tertiary,92.3
236,Female,15.0,Yes,Urban,63.3,Primary,99.6
237,Male,12.3,Yes,Rural,88.9,Tertiary,100.0
238,Female,15.7,Yes,Urban,86.6,Tertiary,100.0
239,Male,13.9,No,Rural,55.7,Secondary,74.4
240,Male,11.2,No,Rural,87.0,Primary,70.0
241,Female,10.9,No,Urban,96.4,none,70.1
242,Male,10.8,Yes,Urban,94.3,Secondary,98.1
243,Female,7.3,Yes,Rural,51.7,Secondary,61.4
244,Female,8.5,Yes,Rural,96.2,Tertiary,76.6
245,Female,8.1,No,Urban,94.9,Primary,66.9
246,Female,9.5,No,Rural,98.2,none,70.3
247,Male,7.9,No,Rural,77.9,Secondary,56.1
248,Male,8.9,No,Urban,59.3,Tertiary,63.0
249,Male,12.3,No,Rural,56.0,Secondary,60.0
250,Female,6.0,No,Rural,74.5,Secondary,55.1
251,Female,3.6,No,Urban,77.2,Tertiary,48.9
252,Female,12.1,No,Urban,55.6,Tertiary,77.2
253,Male,9.7,Yes,Urban,50.7,Primary,76.4
254,Female,7.6,No,Urban,58.5,Secondary,52.7
255,Female,8.4,No,Urban,71.5,none,59.9
256,Female,8.0,Yes,Urban,70.1,Primary,80.4
257,Female,13.5,No,Rural,57.0,Tertiary,73.8
258,Male,6.3,No,Urban,64.2,Primary,50.8
259,Male,0.0,No,Urban,81.3,Secondary,27.7
260,Female,5.6,No,Rural,65.8,Secondary,42.2
261,Female,8.9,No,Urban,53.1,Primary,54.1
262,Male,10.3,No,Urban,73.6,Tertiary,76.9
263,Male,16.0,No,Rural,69.2,none,80.8
264,Male,12.2,Yes,Urban,88.9,Tertiary,100.0
265,Female,7.2,No,Urban,50.2,Primary,52.0
266,Female,7.5,No,Urban,69.9,Tertiary,67.9
267,Male,12.7,No,Urban,98.1,Secondary,94.1
268,Female,3.1,Yes,Rural,63.3,Tertiary,49.1
269,Female,10.4,Yes,Rural,86.7,Secondary,86.9
270,Female,5.5,No,Rural,99.9,Tertiary,57.3
271,Female,6.6,No,Rural,98.8,Tertiary,58.1
272,Female,9.2,No,Urban,81.2,Secondary,67.5
273,Male,5.1,Yes,Rural,87.1,Secondary,61.6
274,Male,7.4,Yes,Urban,99.0,Secondary,86.3
275,Male,10.4,No,Urban,97.9,none,76.7
276,Female,13.2,No,Rural,76.6,none,73.8
277,Male,11.1,No,Rural,61.9,Tertiary,65.9
278,Female,5.5,No,Rural,82.4,Secondary,49.6
279,Male,6.9,No,Urban,93.8,Primary,60.7
280,Female,8.9,No,Rural,92.6,Tertiary,65.2
281,Female,6.7,No,Urban,87.2,Secondary,52.3
282,Male,7.0,No,Urban,52.2,Secondary,46.4
283,Male,11.4,No,Rural,71.9,Secondary,68.6
284,Male,12.7,Yes,Rural,58.4,Secondary,79.0
285,Female,14.3,No,Urban,70.9,Secondary,87.3
286,Male,5.4,No,Urban,68.2,Tertiary,46.1
287,Male,8.4,No,Urban,91.3,Secondary,58.7
288,Female,9.1,Yes,Urban,76.7,none,79.1
289,Female,0.0,No,Urban,95.2,Primary,32.8
290,Female,8.3,No,Rural,58.6,Secondary,57.2
291,Female,7.1,Yes,Urban,94.2,Primary,90.3
292,Male,12.8,No,Urban,68.9,Tertiary,72.7
293,Female,16.0,No,Urban,94.3,Tertiary,100.0
294,Male,6.4,No,Rural,74.1,Secondary,53.9
295,Male,14.4,No,Urban,92.0,Secondary,92.1
296,Male,16.0,No,Urban,69.4,none,85.8
297,Male,12.9,No,Urban,59.9,Primary,68.5
298,Female,11.2,No,Rural,87.8,Primary,74.2
299,Female,7.9,No,Urban,89.7,Secondary,63.1
300,Female,5.0,No,Rural,62.2,Tertiary,43.5
301,Male,10.8,No,Rural,72.8,Secondary,63.5
302,Female,7.9,No,Urban,67.1,Tertiary,56.7
303,Male,9.6,No,Rural,79.0,Secondary,65.8
304,Male,11.2,Yes,Rural,89.4,Secondary,90.2
305,Female,9.3,No,Rural,65.8,Primary,59.0
306,Female,8.2,No,Urban,68.9,none,62.1
307,Female,3.5,No,Rural,89.5,Primary,45.8
308,Female,6.5,No,Rural,50.8,Primary,48.5
309,Female,16.0,No,Rural,82.0,Tertiary,89.7
310,Female,12.4,No,Urban,85.5,Secondary,79.2
311,Male,9.4,No,Urban,57.7,Tertiary,61.8
312,Male,4.0,No,Rural,71.0,Secondary,42.0
313,Female,9.6,Yes,Rural,89.2,Primary,77.2
314,Female,12.0,No,Urban,66.3,Tertiary,79.7
315,Female,15.2,Yes,Rural,52.4,Secondary,99.6
316,Female,7.9,No,Urban,55.9,Secondary,58.5
317,Female,12.1,No,Urban,63.6,Tertiary,75.8
318,Female,9.7,No,Urban,92.5,Secondary,82.4
319,Female,1.5,Yes,Rural,51.1,Secondary,37.9
320,Female,3.3,No,Urban,59.7,Primary,37.2
321,Female,10.8,Yes,Rural,70.1,Primary,89.4
322,Female,10.3,No,Urban,64.5,Secondary,70.8
323,Male,16.0,No,Rural,73.4,Tertiary,93.1
324,Male,9.4,No,Rural,100.0,Secondary,65.6
325,Male,13.6,No,Urban,76.4,Secondary,90.7
326,Male,10.2,Yes,Rural,61.5,Tertiary,79.8
327,Female,9.4,No,Rural,96.2,Tertiary,67.9
328,Female,4.9,No,Urban,65.7,Secondary,40.7
329,Female,14.9,Yes,Urban,86.5,Tertiary,100.0
330,Male,1.1,No,Rural,83.5,Primary,40.3
331,Female,13.2,Yes,Urban,79.7,Tertiary,100.0
332,Female,4.0,No,Rural,84.2,Secondary,43.7
333,Female,8.8,Yes,Urban,50.4,Secondary,74.7
334,Female,7.9,No,Rural,76.2,Tertiary,56.6
335,Female,10.0,No,Urban,60.2,Secondary,57.4
336,Female,13.8,No,Rural,65.2,none,79.2
337,Female,14.1,Yes,Urban,56.5,Primary,87.7
338,Male,2.9,No,Urban,60.1,Tertiary,32.4
339,Male,11.3,No,Urban,66.0,none,72.3
340,Male,7.9,Yes,Urban,59.1,Primary,69.6
341,Male,7.2,Yes,Urban,80.3,Primary,63.4
342,Female,3.8,No,Urban,55.8,Tertiary,41.8
343,Female,6.1,No,Urban,76.7,none,59.4
344,Male,6.8,No,Urban,74.4,Secondary,54.0
345,Female,8.8,No,Rural,81.8,Secondary,59.0
346,Male,10.4,Yes,Urban,66.2,none,72.5
347,Male,12.0,Yes,Rural,90.5,Secondary,91.7
348,Female,8.1,No,Urban,51.9,Secondary,50.9
349,Male,8.3,Yes,Urban,95.6,Tertiary,74.9
350,Female,9.5,Yes,Urban,94.7,Tertiary,95.2
351,Male,10.0,Yes,Rural,71.1,Tertiary,78.4
352,Female,7.2,No,Rural,71.9,Primary,49.0
353,Male,5.4,Yes,Rural,60.6,Primary,58.8
354,Male,15.0,No,Rural,84.4,Secondary,94.1
355,Male,6.4,No,Urban,92.0,Primary,62.1
356,Male,11.8,No,Urban,59.6,Secondary,64.6
357,Female,6.4,No,Urban,98.6,Primary,65.4
358,Female,7.0,No,Urban,51.4,none,51.9
359,Female,14.5,Yes,Urban,65.2,Secondary,100.0
360,Male,9.0,Yes,Rural,84.1,Secondary,72.8
361,Female,10.2,No,Rural,97.4,none,69.4
362,Male,14.0,Yes,Rural,66.6,Secondary,91.8
363,Female,16.0,No,Rural,96.3,Secondary,92.1
364,Male,14.6,No,Urban,92.0,Primary,90.2
