datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2015-03-20 15:00:00,282.146,282.84,284.665,283.24,289.04,288.165,284.74,289.515,279.615,275.69,294.54,288.64,295.065,279.44,279.84,281.39,277.365,284.865,279.74,287.69,275.14,294.965,284.14,296.665,276.64,275.315,273.64,273.396,270.684,270.215,289.734,290.05,291.134,289.246,287.284,284.39
2016-09-02 10:00:00,286.02,287.11,287.57,286.36,291.78,290.75,301.28,301.9,287.05,290.67,296.91,295.44,298.76,288.84,285.6,288.69,288.55,290.93,287.81,295.89,286.95,299.29,294.9,301.23,285.92,287.53,288.86,290.79,287.08,288.04,298.939,304.15,306.18,303.63,303.15,304.23
2015-12-06 12:00:00,277.75,280.597568769,282.570750313,281.63859286,285.679049472,284.904583854,276.547427063,279.762018349,271.378510904,270.474687413,279.980247876,279.417361459,277.858710666,280.550278513,276.02,272.07338393,272.340897704,271.210793761,271.16,278.14,272.583967172,289.63,273.695107924,297.4,269.044443209,273.18,270.330267409,272.06,276.15,272.34533389,285.133,289.15,287.36,286.15,286.15,289.15
2016-03-28 13:00:00,277.2,276.458246445,281.341916872,276.54109215,287.70936041,288.521149905,289.494009479,288.007676538,275.722343128,272.937842654,283.77,279.75,285.42,273.65,273.092236992,275.81,279.64,280.5,280.04,289.28,279.144512821,293.14,287.7,298.59,282.788680463,280.46,281.07,279.41,278.17,276.84,285.907,291.92,296.15,289.15,289.15,291.75
2015-08-31 07:00:00,287.56,288.82,291.03,289.09,294.27,293.52,301.98,304.6,292.12,294.65,296.77,297.9,296.21,294.95,291.74,296.72,289.55,291.65,293.18,293.08,292.67,298.15,292.31,299.55,292.58,291.53,295.54,296.37,291.78,293.17,298.158,302.25,304.15,303.5,301.15,302.38
2013-10-13 19:00:00,284.4625,283.8525,290.8925,283.6475,292.1375,292.8575,294.1425,298.8825,293.1525,288.5625,295.8675,295.6125,297.6525,293.5825,286.9025,294.3725,289.0525,298.6225,293.8575,298.8075,292.4875,300.8875,294.1425,302.4275,293.2975,289.2975,292.5325,291.0925,292.3975,287.7275,288.1265,292.7775,288.653,294.328,295.453,288.728
2013-03-09 00:00:00,281.01,285.6,285.04,283.04,287.08,287.97,289.5,298.36,292.49,289.49,293.61,293.05,290.44,279.27,271.65,279.03,273.89,276.89,274.46,283.54,274.18,286.01,282.23,292.03,274.42,275.81,278.09,274.43,272.72,272.65,285.67,290.37,286.15,288.84,288.84,284.96
2014-05-02 23:00:00,290.436666667,294.603333333,292.353333333,293.336666667,304.12,304.253333333,303.886666667,304.77,293.353333333,292.603333333,298.136666667,298.07,298.27,293.22,286.07,289.836666667,282.386666667,289.52,287.486666667,290.736666667,286.036666667,288.336666667,289.553333333,301.203333333,286.32,283.553333333,289.036666667,288.836666667,284.87,286.17,287.586666667,285.12,289.036666667,292.92,292.92,287.453333333
2014-01-13 16:00:00,281.57,281.23,282.72,282.08,285.74,286.71,278.98,281.15,272.78,276.41,287.74,284.23,292.19,278.07,270.77,281.13,278.58,281.27,282.54,283.12,278.29,290.25,284.28,299.48,282.14,278.53,280.67,280.1,276.06,279.43,282.247,290.64,291.15,287.59,284.22,283.318
2016-05-18 03:00:00,291.89,293.05,297.88,291.59,291.31,289.66,294.29,298.73,279.96,280.0,296.89,291.25,297.77,283.47,282.84,284.28,281.56,291.03,284.19,292.69,284.15,295.43,290.96,300.78,285.27,282.98,283.25,285.35,281.59,287.57,289.631,299.43,300.15,315.93,294.731,299.62
2013-10-14 08:00:00,278.2495,280.1,284.46,278.81,285.85,284.35,287.05,291.11,285.7,280.83,295.52,293.54,295.05,284.47,276.7,282.51,279.86,289.36,280.42,290.51,282.02,293.03,289.71,296.3,287.88,282.49,282.38,283.56,287.11,277.01,297.503,299.285,299.257,298.0,296.64,297.428
